size,Ascending,Descending,Random
1,0.0003,0.0006,0.0004
2,0.0003,0.0006,0.0004
4,0.0005,0.0005,0.0007
8,0.0007,0.0012,0.001
16,0.0011,0.0012,0.002
32,0.0018,0.0024,0.0038
64,0.0024,0.003,0.008
128,0.0036,0.014,0.0136
256,0.0062,0.0077,0.0278
512,0.0119,0.0132,0.0673
1024,0.0217,0.0259,0.1206
2048,0.054,0.1189,0.224
4096,0.0987,0.1457,0.3901
8192,0.2421,0.3343,0.7793
16384,0.6994,0.5576,3.4641
32768,0.9909,1.0786,3.7597
65536,1.6966,2.1713,5.815
131072,3.9412,4.0436,13.4228
